AL,1988,3,142.72
AL,1988,4,141.52
AL,1989,1,141.68
AL,1989,2,143.43
AL,1989,3,145.74
AL,1989,4,146.8
AL,1990,1,145.61
AL,1990,2,146.85
AL,1990,3,147.51
AL,1990,4,147.65
AL,1991,1,148.8
AL,1991,2,151.16
AL,1991,3,151.89
AL,1991,4,154.41
AL,1992,1,155.65
AL,1992,2,155.94
AL,1992,3,158.86
AL,1992,4,160.11
AL,1993,1,161.3
AL,1993,2,163.02
AL,1993,3,165.89
AL,1993,4,167.31
AL,1994,1,168.37
AL,1994,2,170.47
AL,1994,3,171.08
AL,1994,4,171.29
AL,1995,1,172.92
AL,1995,2,176.32
AL,1995,3,179.07
AL,1995,4,180.4
AL,1996,1,183.69
AL,1996,2,183.61
AL,1996,3,184.04
AL,1996,4,186.15
AL,1997,1,188.08
AL,1997,2,189.52
AL,1997,3,192.36
AL,1997,4,194.89
AL,1998,1,198.12
AL,1998,2,199.78
AL,1998,3,201.88
AL,1998,4,204.34
AL,1999,1,205.02
AL,1999,2,205.83
AL,1999,3,206.23
AL,1999,4,207.76
AL,2000,1,208.57
AL,2000,2,210.31
AL,2000,3,211.96
AL,2000,4,214.68
AL,2001,1,220.96
AL,2001,2,221.88
AL,2001,3,223.45
AL,2001,4,226
AL,2002,1,226.4
AL,2002,2,227.59
AL,2002,3,230.95
AL,2002,4,233.62
AL,2003,1,235.97
AL,2003,2,238.08
AL,2003,3,239.74
AL,2003,4,241.23
AL,2004,1,243.55
AL,2004,2,245.07
AL,2004,3,249.52
AL,2004,4,253.33
AL,2005,1,256.71
AL,2005,2,262.78
AL,2005,3,268.26
AL,2005,4,273.67
AL,2006,1,279.1
AL,2006,2,283.76
AL,2006,3,288.43
AL,2006,4,293.85
AL,2007,1,295.82
AL,2007,2,300
AL,2007,3,300.6
AL,2007,4,302.9
AL,2008,1,304.87
AL,2008,2,303.64
AL,2008,3,301.39
AL,2008,4,302.95
AL,2009,1,305.14
AL,2009,2,301.72
AL,2009,3,294.65
AL,2009,4,293.57
AL,2010,1,289.46
AL,2010,2,285.17
AL,2010,3,289
AL,2010,4,286.59
AL,2011,1,278.96
AL,2011,2,275.14
AL,2011,3,277.56
AL,2011,4,279.69
AL,2012,1,276.78
AL,2012,2,275.05
AL,2012,3,276.91
AL,2012,4,277.29
AL,2013,1,274.55
AL,2013,2,275.2
AL,2013,3,274.38
AL,2013,4,273.25
AL,2014,1,275.33
AL,2014,2,276.41
AL,2014,3,279.22
AL,2014,4,280.78
AL,2015,1,283.96
AL,2015,2,284.77
AL,2015,3,286.71
AL,2015,4,288.7
AL,2016,1,289.6
AL,2016,2,293.24
AL,2016,3,298.43
AL,2016,4,297.45
AL,2017,1,299.18
AL,2017,2,303.62
AL,2017,3,306.56
AL,2017,4,308.5
AL,2018,1,310.95
AL,2018,2,317.14
AL,2018,3,322.55
AL,2018,4,323.22
AL,2019,1,329.82
AL,2019,2,335.31
AL,2019,3,339.83
AL,2019,4,343.6
AR,1975,1,66.7
AR,1975,2,60.4
AR,1975,3,65.52
AR,1975,4,62.81
AR,1976,1,66.72
AR,1976,2,68.9
AR,1976,3,71.64
AR,1976,4,72.38
AR,1977,1,73.59
AR,1977,2,75.4
AR,1977,3,78.75
AR,1977,4,81.53
AR,1978,1,81.59
AR,1978,2,83.6
AR,1978,3,86.41
AR,1978,4,86.12
AR,1979,1,92.51
AR,1979,2,95.79
AR,1979,3,100.39
AR,1979,4,102.06
AR,1980,1,100
AR,1980,2,101.52
AR,1980,3,106.96
AR,1980,4,108.94
AR,1981,1,110.08
AR,1981,2,107.21
AR,1981,3,110.79
AR,1981,4,102.86
AR,1982,1,103.62
AR,1982,2,106.38
AR,1982,3,111.27
AR,1982,4,109.15
AR,1983,1,113.54
AR,1983,2,117.09
AR,1983,3,118.62
AR,1983,4,119.06
AR,1984,1,120.84
AR,1984,2,118.89
AR,1984,3,119.87
AR,1984,4,121.4
AR,1985,1,121.85
AR,1985,2,120.31
AR,1985,3,124.4
AR,1985,4,124.83
AR,1986,1,126.12
AR,1986,2,129.05
AR,1986,3,126.96
AR,1986,4,128.62
AR,1987,1,129.76
AR,1987,2,131.3
AR,1987,3,128.02
AR,1987,4,124.55
AR,1988,1,127.11
AR,1988,2,127.79
AR,1988,3,127.36
AR,1988,4,126.66
AR,1989,1,127.74
AR,1989,2,127.34
AR,1989,3,128.57
AR,1989,4,127.6
AR,1990,1,128.16
AR,1990,2,128.38
AR,1990,3,129.31
AR,1990,4,128.74
AR,1991,1,130.01
AR,1991,2,130.78
